K	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	FM	PT	ID
 0	55.08	3.12	21.88	98.44	96.88	85.62	82.5	0327
 0	55.2725	12.50	14.84	96.09	97.66	88.44	80.62	0807
 0	55.275	13.28	16.41	92.97	98.44	89.69	84.38	0102
 0	55.275	14.06	16.41	92.19	98.44	84.06	76.88	0490
 0	55.6625	57.81	38.28	49.22	77.34	78.44	75.94	0498
 0	55.665	48.44	35.16	60.94	78.12	80.94	75.31	0408
 0	55.665	79.69	64.06	23.44	55.47	69.69	80.31	0468
 0	55.86	11.72	17.19	95.31	99.22	90	79.38	0013
 0	55.86	1.56	25.00	96.88	100.00	89.38	77.81	0759
 0	55.86	17.97	14.06	94.53	96.88	90	82.81	0179
 0	55.8625	10.16	16.41	96.88	100.00	91.56	80.94	0735
 0	56.055	18.75	11.72	95.31	98.44	89.06	82.19	0049
 0	56.055	23.44	17.97	89.84	92.97	90.62	80.94	0309
 0	56.055	32.81	17.19	82.81	91.41	83.75	84.06	0654
 0	56.0575	10.16	17.19	98.44	98.44	90	80.62	0526
 0	56.25	23.44	14.84	89.84	96.88	82.19	81.25	0311
 0	56.445	85.16	77.34	20.31	42.97	59.38	82.19	0400
 0	56.4475	49.22	23.44	61.72	91.41	81.88	76.25	0779
 0	56.4475	8.59	21.88	98.44	96.88	89.69	71.88	0070
 0	56.64	0.00	33.59	94.53	98.44	89.38	80.94	0754
 0	56.64	23.44	20.31	89.06	93.75	86.56	79.69	0442
 0	56.6425	30.47	49.22	66.41	80.47	78.44	78.12	0182
 0	57.0325	40.62	34.38	61.72	91.41	80.94	80.31	0852
 0	57.03	50.00	25.00	64.84	88.28	78.75	78.75	0761
 0	57.225	19.53	24.22	89.06	96.09	84.38	79.38	0412
 0	57.23	21.88	13.28	96.88	96.88	90.31	83.12	0550
 0	57.4225	18.75	24.22	91.41	95.31	85.94	80.62	0022
 0	57.4225	37.50	24.22	76.56	91.41	83.12	80.94	0462
 0	57.42	52.34	44.53	52.34	80.47	76.56	77.81	0987
 0	57.6175	13.28	25.00	94.53	97.66	89.38	72.5	0684
 0	57.8125	15.62	30.47	87.50	97.66	82.19	80.31	0057
 0	57.8125	17.97	24.22	90.62	98.44	87.81	80	0667
 0	57.8125	23.44	24.22	90.62	92.97	87.19	82.81	0625
 0	57.815	64.84	46.88	46.88	72.66	79.06	80	0478
 0	58.0075	42.97	79.69	53.12	56.25	69.38	83.12	0613
 0	58.01	10.94	25.78	96.88	98.44	84.69	79.69	0268
 0	58.01	32.03	17.97	85.16	96.88	82.81	80	0378
 0	58.01	66.41	74.22	42.19	49.22	65.62	82.5	0127
 0	58.01	84.38	67.97	24.22	55.47	51.56	77.19	0279
 0	58.2025	6.25	32.03	95.31	99.22	90.31	84.38	0770
 0	58.205	11.72	22.66	100.00	98.44	89.38	80.62	0835
 0	58.205	12.50	64.06	71.88	84.38	78.44	81.88	0300
 0	58.205	14.06	25.00	96.88	96.88	89.38	80	0797
 0	58.3975	17.97	30.47	89.06	96.09	90.62	82.81	0161
 0	58.5925	22.66	25.78	90.62	95.31	82.19	82.5	0640
 0	58.595	26.56	28.91	85.16	93.75	85.31	78.44	0043
 0	58.595	66.41	67.19	32.81	67.97	65.94	82.19	0011
 0	58.7875	15.62	28.12	93.75	97.66	84.06	79.06	0536
 0	58.7875	18.75	46.09	79.69	90.62	84.06	77.5	0360
