K	ADVFM	FM	PT	ID
 0	75.624	65.564	71.686	0207
 0	75.624	66.126	73.188	0100
 0	75.626	75.252	68.624	0458
 0	75.626	76.252	68.25	0475
 0	75.75	66.938	68.438	0668
 0	75	79.75	70.064	0768
 0	75.812	77.25	66.938	0245
 0	75.814	71.064	64.938	0560
 0	75.814	81.938	71.126	0433
 0	75.81	71.188	71.376	0010
 0	75.81	77.314	70.126	0643
 0	75.938	79.936	67.564	0718
 0	76.062	82.126	70.25	0875
 0	76.064	69.748	69.376	0426
 0	76.064	74.5	68.25	0065
 0	76.124	75.562	72.124	0771
 0	76.126	73.56	67.252	0212
 0	76.188	83.124	68.814	0836
 0	76.252	71.812	71.062	0591
 0	76.25	79.434	69.874	0036
 0	76.312	71.812	68.5	0311
 0	76.312	76.374	69.252	0677
 0	76.374	73.434	72.626	0017
 0	76.376	72.188	67.504	0197
 0	76.376	74.06	70.5	0612
 0	76.438	68.5	68.938	0221
 0	76.562	73.314	71.812	0707
 0	76	60.936	67.874	0150
 0	76.686	73.376	66.75	0316
 0	76.688	68.248	68.312	0053
 0	76.688	77.124	66.372	0181
 0	76	74.062	72.252	0797
 0	76.748	66.25	68.498	0496
 0	76	77.562	70.438	0355
 0	76	77.564	65	0526
 0	76.812	70.124	68.938	0028
 0	76.814	82.374	66.374	0746
 0	76.936	69.25	68.126	0039
 0	76.936	72.938	66.752	0334
 0	77.062	76.314	72.252	0602
 0	77.062	77.188	65.938	0868
 0	77.124	64.876	69.002	0804
 0	77.186	76.436	66.812	0672
 0	77.248	73.812	68.376	0482
 0	77.252	81.31	68.938	0158
 0	77.25	81.064	71.312	0837
 0	77.312	83.75	72.002	0286
 0	77.374	73.186	68.814	0478
 0	77.374	82.94	67.75	0176
 0	77.376	73.81	69.438	0328
 0	77.376	74.814	66.252	0806
 0	77.376	75.812	67.25	0439
 0	77.436	79.124	69.812	0067
 0	77.562	70.124	69.876	0387
 0	77.562	73.814	67.874	0255
 0	77.564	73.126	71.062	0440
 0	77.564	80.374	68.5	0687
 0	77.626	63	69.188	0081
 0	77	65	67.876	0076
 0	77.686	81.562	70.062	0456
 0	77	74.624	69.998	0110
 0	77.748	67.374	70.25	0281
 0	77	76.312	69	0290
 0	77.812	72.748	70.064	0855
 0	77.814	81.814	71.06	0791
 0	78.002	76.25	70.748	0813
 0	78.062	74.876	68.376	0448
 0	78.062	78.252	68.438	0269
 0	78.064	81.5	67.186	0434
 0	78.124	78.004	67.248	0288
 0	78.126	81.064	66.75	0741
 0	78.188	70.436	69.5	0683
 0	78.19	74.126	67.812	0325
 0	78.312	72.248	66.812	0133
 0	78.372	83.562	68.062	0654
 0	78.374	77.686	70.75	0363
 0	78.376	73.438	69.062	0237
 0	78.436	73.314	69.312	0506
 0	78.436	74.188	67.75	0556
 0	78.438	73.938	67.936	0078
 0	78.438	79.126	67.126	0569
 0	78.498	73.062	70.064	0550
 0	78.502	75.25	67.5	0755
 0	78.502	79.812	68.562	0143
 0	78.564	76.624	66.564	0674
 0	78.56	73.814	68.064	0563
 0	78.5	77.5	70.686	0552
 0	78.624	77.688	68.438	0821
 0	78.686	76.686	68.124	0329
 0	78.688	76.002	69.938	0327
 0	78.69	74.5	69.562	0057
 0	78	70.752	69.69	0824
 0	78.748	73.564	68.562	0517
 0	78.876	83.438	68.75	0662
 0	78.938	79.938	66.812	0374
 0	78.996	73.376	66.75	0776
 0	79.062	71.626	68.688	0655
 0	79.06	75.122	68.75	0704
 0	79.124	76.938	65.686	0748
 0	79.124	77.374	69.812	0090
 0	79.124	78.5	68.438	0107
 0	79.126	82.998	68.686	0566
 0	79.186	73.5	70.126	0056
 0	79.186	75.124	70.062	0187
 0	79.19	72.312	70.064	0279
 0	79.25	79.626	65.748	0124
 0	79.312	77.686	69.31	0038
 0	79.312	82.438	72.002	0099
 0	79.314	75.75	69.124	0860
 0	79.374	75.5	66.75	0231
 0	79.374	75.5	71.688	0264
 0	79.436	76.874	68	0054
 0	79.562	76.312	68.312	0816
 0	79.564	72.374	69.874	0540
 0	79.5	78.626	69.06	0649
 0	79.624	75.186	68.938	0357
 0	79.626	75.25	69.562	0337
 0	79.626	81.374	66.374	0272
 0	79.688	83.876	70	0151
 0	79.752	77.75	65.936	0168
 0	79.75	76.998	66.936	0341
 0	79.75	82.688	69.688	0322
 0	79	76.186	69.5	0543
 0	79	78.812	68.374	0519
 0	79.814	78.564	68.622	0835
 0	79.814	79.374	69.248	0511
 0	79.814	82.688	66.126	0698
 0	79.874	73.624	68.812	0871
 0	79.874	79.562	69.002	0293
 0	79.936	80.5	66.124	0121
 0	80.062	79.626	69.438	0037
 0	80.062	83.002	68.562	0549
 0	80.126	83.002	69.812	0533
 0	80.436	80.248	68.626	0348
 0	80.436	82.25	68.874	0422
 0	80.438	81.876	69.5	0113
 0	80.502	76.56	69.938	0213
 0	80.624	76.752	69.19	0712
 0	80.686	74.626	66.874	0064
 0	80.812	79.314	67.936	0790
 0	80.814	77.062	68.812	0427
 0	80.814	80.372	70.936	0603
 0	80.934	76.75	70.126	0196
 0	81.066	81.69	68.122	0780
 0	81.06	78	71.312	0605
 0	81.126	79	68.124	0241
 0	81.126	81.5	67.562	0346
 0	81.186	79.376	68.874	0206
 0	81.25	77.312	70.686	0273
 0	81.436	80.434	68.878	0491
 0	81.496	77.624	70.064	0548
 0	81.564	77.936	69.436	0148
 0	81.564	78.748	68.248	0205
 0	81.626	81.25	71.188	0173
 0	81.69	81.312	70.186	0769
 0	81.75	79	68.248	0125
 0	82.062	78.752	67.75	0547
 0	82.186	78.374	67.126	0825
 0	82.376	78.438	69.374	0153
 0	82.562	81.312	69.816	0109
 0	82.562	81.876	69.5	0789
 0	82.626	80.686	65.936	0468
 0	82.626	81.938	67.44	0476
 0	82.748	79.252	68.316	0546
 0	82.75	82.122	70.252	0742
 0	82.814	80	66.44	0163
 0	82.872	79.626	67.436	0660
 0	82.874	73.564	70.626	0025
 0	83.128	82.688	70.374	0451
 0	83.312	81.376	66.124	0838
 0	83.5	81.126	68.872	0117
 0	83	79.438	69.312	0040
 0	83	82.934	69.75	0640
 0	83.938	81.812	68.688	0242
 64	48.312	11.5	68.126	0553
 64	48.31	4.436	68.438	0530
 64	48.81	5.376	69.248	0870
 64	49.564	3.876	67.374	0572
 64	49.816	3.126	69.062	0005
 64	49.998	6.564	69.626	0644
 64	50.064	11.688	68.938	0648
 64	50.188	4.186	67.624	0699
 64	50	4.56	69.936	0408
 64	50.562	4	69.31	0844
 64	50.998	3.248	70	0447
 64	51.126	3.124	69.75	0758
 64	51.126	3.436	69.062	0304
 64	51.126	5.124	68.312	0700
 64	51.248	6.374	70.314	0044
 64	51.314	10.688	69.562	0118
 64	51.314	3.562	68.624	0122
 64	51.314	3.75	69.998	0089
 64	51.628	20.814	67.876	0066
 64	51.686	12.252	69.5	0720
 64	51.812	6.438	69.684	0134
 64	52.438	9.126	68.186	0086
 64	52.498	2.498	70.248	0618
 64	52.5	3.314	70.75	0717
 64	52.998	6.874	67.876	0050
 64	53.438	6.69	70.436	0625
 64	53.626	2.5	70.314	0817
 64	55.002	82.686	59.314	0345
 64	55.126	29.438	67.44	0229
 64	55.25	24.25	66.876	0397
 64	55.502	20	69.622	0228
 64	57.25	25.252	67.686	0414
 64	57	30.938	67.248	0815
 64	59.126	37.126	69.936	0497
 64	59.312	39.124	67.94	0737
 64	60.498	59	66.686	0178
 64	61.624	43.5	67.686	0623
 64	62.688	47.312	67.874	0487
 64	62.936	66.686	65.376	0695
 64	65	64.188	66.624	0694
 64	65.752	77.498	65.438	0765
 64	66.624	63.25	68.564	0416
 64	66.626	79.126	64.688	0557
 64	66.748	78.124	67.438	0406
 64	67.248	75.686	63.252	0465
 64	67.312	77.938	64.812	0198
 64	67.562	72.248	66.686	0224
 64	67.812	70.436	65.564	0223
 64	67.938	79.874	67.75	0678
 64	68.252	83.25	66.438	0793
 64	69.19	80.998	66.5	0505
 64	69.69	60.562	65.75	0123
 64	69	82	68.81	0152
 64	69.874	75.938	69.746	0210
 64	69.874	80.812	66.684	0138
 64	70	79.812	66.748	0347
 64	70	81.186	69.688	0244
 64	71.126	71.31	67.626	0514
 64	71.75	80.688	69.25	0120
 64	71	78.378	65.25	0079
 64	71.876	75.062	65.81	0735
 64	72.06	73.938	67.438	0330
 64	72.188	81.06	67.064	0161
 64	72.376	76.688	65.376	0262
 64	72.69	82.938	70.374	0532
 64	72.812	79.25	67.188	0424
 64	73.062	79.562	66.874	0095
 64	73.186	75.936	67.124	0282
 64	73.188	77.376	67.376	0839
 64	73.248	82.378	67.56	0690
 64	73.436	63.876	68.502	0072
 64	73.5	84.5	69.064	0265
 64	73.624	66.624	67.312	0149
 64	73.686	79.688	66.876	0460
 64	73.998	82.376	68.06	0666
 64	74.124	76.814	67.438	0500
 64	74.188	81	68.56	0585
 64	74.254	63.562	66.566	0029
 64	74.25	67.002	66.686	0002
 64	74.312	74.874	68.186	0849
 64	74.374	76.622	64.564	0590
 64	74.502	78.624	66.5	0247
 64	74.562	80.374	68.062	0129
 64	74	62.874	66.502	0671
 64	74.628	78.75	67.002	0504
 64	74	72.252	64.624	0531
 64	74.75	81.75	68.812	0673
 64	74.936	61.376	68.064	0214
 64	75.062	80.5	67.31	0157
 64	75.436	81.436	66.252	0301
 64	75.44	62.188	67.438	0277
 64	75.564	80.316	64.998	0307
 64	75.624	81.75	68.748	0395
 64	75.69	77.75	68.564	0361
 64	75.752	76.312	67.124	0074
 64	75.812	75.376	67.186	0775
 64	75.874	80.124	67.5	0621
 64	75.876	67.126	65.5	0375
 64	76.062	79.124	68.562	0254
 64	76.252	67.938	67.436	0087
 64	76.372	74.126	68.938	0308
 64	76.374	76.562	67.876	0068
 64	76.376	74.498	70.564	0096
 64	76.498	71.812	67.624	0199
 64	76.624	79.124	68.75	0594
 64	76.626	66.062	66.688	0866
 64	76.626	72.75	66.376	0822
 64	76.75	73.186	68.44	0787
 64	76.812	77.374	65.94	0335
 64	77.186	82.936	67.312	0285
 64	77.188	61.564	66.498	0584
 64	77.252	70.684	67.75	0728
 64	77.252	82.936	68.562	0431
 64	77.25	74.502	66.25	0753
 64	77.374	81	69.69	0170
 64	77.376	68.064	67.186	0818
 64	77.376	71.688	70.624	0646
 64	77.436	83.376	68.688	0681
 64	77.438	76.812	65.312	0523
 64	77	78.124	69.998	0485
 64	77.812	81	68.874	0220
 64	77	83.314	68.312	0274
 64	77	83.874	68.312	0803
 64	77.876	64.376	69.438	0092
 64	78.002	81.498	66.624	0819
 64	78.062	82.002	70	0154
 64	78.124	75.562	68.626	0527
 64	78.188	84.748	70.938	0291
 64	78.312	81.248	69.252	0706
 64	78.436	75.126	67	0518
 64	78.438	76.252	67.562	0554
 64	78.622	70.062	68.628	0608
 64	78.626	81.998	69.5	0183
 64	78.688	67.124	68	0114
 64	78.69	77.624	70.186	0647
 64	78.752	69.438	68.748	0380
 64	78.75	67.5	71.562	0405
 64	78.75	76.378	69.19	0493
 64	78	79.75	69.376	0508
 64	78.812	83.376	70.626	0588
 64	78.874	82.812	69.25	0251
 64	78.874	83.186	69.062	0394
 64	78.876	78.438	67.312	0697
 64	78.938	75.376	65.688	0829
 64	79.002	81.25	70.374	0759
 64	79.064	73.688	69.25	0127
 64	79.064	82.062	70.688	0140
 64	79.248	69.624	68.874	0209
 64	79.248	71	66.688	0032
 64	79.25	69	69.562	0634
 64	79.312	80.31	67.062	0367
 64	79.372	71.626	68.188	0169
 64	79.564	79.626	67.626	0300
 64	79.564	82.128	67.312	0156
 64	79.5	78.938	67.314	0724
 64	79.686	73.498	66.75	0833
 64	79.686	80.252	67.498	0166
 64	79.812	65.624	68.938	0628
 64	79.874	81.248	67.938	0454
 64	79.876	79.624	67.938	0788
 64	79.938	67.874	67.69	0373
 64	79.938	74.438	67	0353
 64	79.938	74.814	66.626	0459
 64	79.94	74	69.374	0063
 64	80.126	68.438	67.126	0338
 64	80.126	79.186	67.688	0863
 64	80.126	80.374	67.438	0105
 64	80.186	75.248	67.436	0450
 64	80.186	80.25	70.874	0470
 64	80.188	82.75	65.998	0155
 64	80.248	80.75	69.998	0551
 64	80.252	78.124	67.252	0679
 64	80.25	77.75	68.124	0317
 64	80.25	78.252	68.874	0384
 64	80.25	80.316	68.812	0802
 64	80.376	69.75	67.064	0115
 64	80.376	80.062	68.562	0611
 64	80.376	80.69	69.124	0486
 64	80.376	83.436	69.062	0046
 64	80.436	72.064	69.25	0139
 64	80.502	78.562	68.874	0342
 64	80.562	64.75	70.124	0160
 64	80.562	78.626	69.814	0774
 64	80.5	65.562	71.188	0136
 64	80.624	76.75	68.314	0402
 64	80.686	76.812	68.434	0581
 64	80.752	79.94	67.438	0808
 64	80.75	81.688	69.752	0022
 64	80	79.126	66.75	0772
 64	80.812	69	69.062	0515
 64	80.876	71.874	71.314	0854
 64	80.876	82.688	70.314	0429
 64	80.936	79.252	71.5	0703
 64	80.938	64.564	69.064	0177
 64	80.938	80.938	70.06	0275
 64	80.94	80.688	72.002	0499
 64	81.002	68.436	69.436	0147
 64	81.002	77.998	66.624	0867
 64	81.124	77.814	68.188	0009
 64	81.188	81.188	68.94	0171
 64	81.248	70.062	69.062	0263
 64	81.312	74.998	66.688	0396
 64	81.312	82.124	68.124	0477
 64	81.376	71.19	68.938	0268
 64	81.376	79.25	69	0830
 64	81.438	80.752	64.938	0185
 64	81.496	73.44	68.812	0715
 64	81.502	73.124	67.25	0410
 64	81.562	78.248	69.188	0236
 64	81.562	80.062	66.874	0326
 64	81.564	79.5	66.876	0544
 64	81.5	77.312	69.062	0356
 64	81.5	80.936	69.06	0359
 64	81.622	76.188	66.498	0175
 64	81.624	77.062	68.374	0620
 64	81.624	77.564	69.438	0260
 64	81.624	83.314	70.248	0525
 64	81.686	75.496	68.688	0744
 64	81.688	69.626	70.25	0484
 64	81.688	73.69	69.312	0853
 64	81.688	76.06	68.186	0582
 64	81.748	82	67.688	0276
 64	81.75	79.312	69.752	0760
 64	81.874	74.188	68	0253
 64	81.876	70.938	69.876	0423
 64	81.938	69.438	69.812	0412
 64	81.998	79.624	68.876	0445
 64	81.998	83.376	66.812	0071
 64	82.064	71.936	68.436	0421
