K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	FM	FMS	PT	SYNTH	ID
64	55.25	-23.36	34.99	68.81	52.15	65.05	77.56	83.86	79.86	62.5	1050
64	25.1725	50.35	98.69	0.0	2.0	0.0	89.75	89.59	57.71	57.81	3066
64	26.52	53.04	80.45	0.0	25.63	0.0	89.92	89.65	57.51	54.69	3022
0	39.9725	-15.34	21.31	42.95	43.29	52.34	75.11	91.78	86.04	70.31	3052
64	53.52	-31.24	26.5	66.15	49.3	72.13	76.71	87.97	83.73	75.0	2006
0	25.355	50.71	93.86	0.0	7.56	0.0	89.11	89.94	58.07	59.38	1059
0	25.875	51.75	96.44	0.0	7.06	0.0	90.2	89.94	57.56	42.19	2581
64	25.375	50.75	99.05	0.0	2.45	0.0	89.75	89.89	57.2	60.94	0041
0	28.07	54.13	62.47	0.44	47.8	1.57	87.46	92.14	80.16	81.25	0531
0	30.8	53.72	78.23	2.11	37.09	5.77	88.8	89.67	80.73	76.56	2578
0	30.6675	30.16	37.89	10.65	53.6	20.53	85.66	90.52	84.01	76.56	3542
64	33.305	43.38	53.98	4.77	56.01	18.46	87.53	91.8	82.7	79.69	2541
0	44.6225	-61.36	15.47	69.03	12.41	81.58	54.19	83.94	81.16	57.81	3078
0	29.9025	33.24	12.76	11.88	80.28	14.69	84.37	92.73	81.01	81.25	1033
0	49.55	-65.15	15.18	81.91	18.77	82.34	57.86	77.76	84.45	76.56	2517
0	25.4875	50.98	98.4	0.0	3.55	0.0	89.87	89.77	58.69	75.0	0555
64	10.1825	11.23	0.16	7.1	31.43	2.04	10.37	10.17	9.67	15.62	2526
0	31.05	37.13	51.63	24.97	47.6	0.0	66.73	67.07	58.43	51.56	2057
64	53.2075	-42.1	31.79	74.58	32.53	73.93	66.71	75.05	80.86	65.62	2002
64	25.09	50.18	99.61	0.0	0.75	0.0	90.26	89.47	58.46	40.62	2056
64	25.2975	50.59	90.93	0.0	10.26	0.0	89.55	89.89	57.56	42.19	1580
0	43.77	3.97	76.04	45.62	15.47	37.95	74.61	82.46	79.78	76.56	2020
0	25.0	50.0	100.0	0.0	0.0	0.0	88.84	89.04	58.46	29.69	2032
64	26.14	52.28	95.3	0.0	9.26	0.0	89.53	89.37	56.58	48.44	3019
0	39.235	18.01	59.24	25.31	37.24	35.15	79.24	88.72	80.57	71.88	0046
64	16.6875	-0.0	0.29	3.77	33.08	29.61	9.88	10.11	22.94	15.62	1032
0	41.44	-29.94	24.31	64.26	28.63	48.56	68.04	89.23	83.6	81.25	2084
64	25.0975	50.2	99.64	0.0	0.75	0.0	89.79	89.63	56.27	62.5	2021
64	24.975	49.95	99.45	0.0	0.45	0.0	89.11	89.23	57.4	43.75	0564
0	44.44	-30.4	15.24	58.27	43.24	61.01	62.09	82.24	80.75	75.0	1044
64	59.31	-27.56	60.84	66.7	30.23	79.47	81.25	91.6	83.12	81.25	2539
0	25.16	50.32	98.89	0.0	1.75	0.0	89.92	90.26	57.66	57.81	0574
0	25.0	50.0	100.0	0.0	0.0	0.0	89.65	89.29	57.76	48.44	2573
0	46.36	-16.97	33.06	51.61	42.69	58.08	73.71	86.29	81.32	70.31	0512
64	56.1175	-27.15	38.09	76.36	47.0	63.02	77.1	88.01	83.09	71.88	1015
64	53.28	-58.38	12.7	75.58	35.49	89.35	67.72	79.08	84.89	78.12	3540
0	40.1875	-1.47	47.88	32.74	31.03	49.1	72.7	86.78	81.19	78.12	0072
0	41.46	-9.7	41.19	41.18	32.03	51.44	74.06	87.1	81.65	75.0	2562
64	25.1775	50.36	88.9	0.0	11.81	0.0	89.53	89.98	57.17	59.38	2079
0	42.9625	-58.87	5.29	73.36	21.77	71.43	51.76	88.84	85.86	73.44	0088
0	46.96	-46.24	27.06	76.14	20.62	64.02	65.17	87.75	82.86	71.88	0579
0	27.8075	55.62	73.69	0.0	37.54	0.0	89.63	89.73	58.51	50.0	0037
0	26.7725	53.55	74.51	0.0	32.58	0.0	90.83	89.35	78.39	54.69	1528
64	53.4275	-27.6	12.04	65.59	67.22	68.86	77.72	87.91	83.14	76.56	1519
64	25.0375	50.08	100.0	0.0	0.15	0.0	89.61	89.81	58.46	57.81	3008
64	25.0	50.0	100.0	0.0	0.0	0.0	88.72	88.01	56.89	39.06	2067
64	25.0	50.0	100.0	0.0	0.0	0.0	89.55	89.77	59.1	45.31	0507
0	25.3625	50.73	98.3	0.0	3.15	0.0	90.16	90.18	58.4	51.56	2556
64	36.6575	24.64	26.89	13.76	71.07	34.91	84.2	91.31	81.63	81.25	0063
0	26.9275	53.86	93.05	0.0	14.66	0.0	89.33	89.11	56.71	46.88	1007
64	25.6725	51.34	94.88	0.0	7.81	0.0	89.37	88.96	57.74	43.75	0051
64	51.7825	-29.53	41.25	64.04	32.78	69.06	71.65	83.7	81.93	81.25	0062
64	40.0625	40.39	50.85	21.64	69.67	18.09	87.18	91.51	81.83	81.25	1532
0	45.3375	-60.28	3.92	78.69	26.48	72.26	52.55	81.81	82.55	76.56	1520
64	24.965	49.93	98.96	0.0	0.9	0.0	89.59	89.96	57.71	67.19	1558
0	26.1475	52.29	79.41	0.0	25.18	0.0	89.33	89.92	58.63	60.94	1068
64	25.625	51.25	97.39	0.0	5.11	0.0	89.85	89.91	56.02	46.88	1549
0	44.3275	-32.63	28.39	52.16	27.63	69.13	62.33	87.34	81.5	87.5	2533
0	25.1075	50.21	99.58	0.0	0.85	0.0	89.91	89.75	56.81	42.19	0560
64	24.8525	49.7	98.11	0.0	1.3	0.0	89.13	89.21	56.61	56.25	1037
64	25.3475	50.69	93.08	0.0	8.31	0.0	89.67	89.63	57.63	53.12	3079
64	25.8225	51.64	97.98	0.0	5.31	0.0	88.92	89.31	57.79	54.69	1540
64	37.6775	42.88	46.51	15.32	71.72	17.16	87.65	92.61	82.5	78.12	1584
0	24.83	49.66	99.22	0.0	0.1	0.0	89.61	89.47	58.38	53.12	1556
0	26.1	52.2	74.12	0.0	30.28	0.0	89.77	89.15	59.51	35.94	1084
0	29.8925	48.74	68.44	2.66	40.09	8.38	85.22	91.94	81.19	81.25	1021
64	27.15	54.3	84.53	0.0	24.07	0.0	89.39	89.49	56.56	42.19	3582
64	25.06	50.12	83.32	0.0	16.92	0.0	89.67	89.45	58.25	68.75	0538
0	30.045	47.27	52.51	7.21	54.85	5.61	86.65	90.38	78.91	71.88	2052
64	49.4325	-19.21	30.25	56.16	49.4	61.92	79.34	84.75	82.6	70.31	2586
0	47.0525	-46.45	19.52	72.7	28.13	67.86	58.32	83.52	81.45	76.56	0516
0	25.68	51.36	98.47	0.0	4.25	0.0	89.63	89.73	57.4	53.12	2040
64	46.1625	-2.75	57.34	41.84	32.23	53.24	82.62	87.1	81.47	64.06	3012
64	25.0825	50.17	99.38	0.0	0.95	0.0	89.25	89.25	58.12	70.31	3519
0	30.07	49.93	53.36	7.77	56.71	2.44	89.1	92.87	82.78	81.25	3500
64	25.4575	50.92	97.78	0.0	4.05	0.0	89.39	89.17	57.43	56.25	3537
0	25.0525	49.7	94.55	0.0	5.26	0.4	87.67	87.59	58.56	43.75	1022
64	49.56	-4.16	47.06	54.72	47.9	48.56	83.11	90.42	80.81	71.88	0028
0	48.1075	-21.84	61.72	61.71	12.66	56.34	66.91	75.96	79.24	68.75	2523
0	25.9325	51.87	70.2	0.0	33.53	0.0	89.37	89.67	58.84	56.25	2001
0	49.015	-59.35	18.51	80.91	20.17	76.47	54.98	81.37	82.11	64.06	0578
64	63.4175	-23.38	54.86	66.7	48.6	83.51	77.54	88.09	80.4	67.19	0502
0	42.7975	-30.71	25.16	52.05	29.73	64.25	68.17	91.13	81.91	71.88	1042
64	44.115	15.85	62.34	29.86	41.74	42.52	87.65	92.41	85.55	81.25	2508
0	25.8425	51.69	93.11	0.0	10.26	0.0	89.51	89.41	56.79	46.88	3039
64	26.0875	52.17	88.48	0.0	15.87	0.0	89.45	89.53	57.04	51.56	0049
0	40.1475	-28.43	34.4	54.38	17.47	54.34	62.29	87.67	81.22	78.12	1067
0	46.105	-43.66	23.07	64.71	25.48	71.16	57.88	85.18	80.52	67.19	2045
64	25.03	49.84	99.15	0.22	0.75	0.0	88.29	88.78	58.04	42.19	1504
0	34.8275	24.18	42.98	7.33	50.85	38.15	80.38	91.76	84.45	79.69	0582
64	24.7925	49.58	49.97	0.0	49.2	0.0	89.13	88.78	56.66	39.06	3545
0	51.7825	-38.12	28.46	77.36	36.99	64.32	71.99	82.95	84.19	68.75	0084
64	26.445	52.89	84.66	0.0	21.12	0.0	89.79	89.59	57.22	51.56	1507
64	52.4675	-43.75	23.69	72.59	37.49	76.1	70.17	80.76	82.32	67.19	2524
0	24.6925	49.38	97.72	0.0	1.05	0.0	89.94	89.53	58.53	53.12	3502
64	25.03	50.06	99.77	0.0	0.35	0.0	89.55	89.45	57.89	54.69	2018
64	5.9325	3.98	0.23	7.88	15.62	0.0	6.34	6.16	2.44	6.25	1034
0	25.125	50.25	97.0	0.0	3.5	0.0	90.34	90.12	57.58	35.94	2024
0	39.125	-23.6	19.61	50.28	35.04	51.57	66.57	89.41	82.5	70.31	0552
0	31.1425	52.77	60.8	0.78	54.25	8.74	91.31	91.21	77.55	75.0	1508
64	25.3625	50.73	92.59	0.0	8.86	0.0	89.91	89.75	58.66	53.12	2064
0	25.035	50.07	99.64	0.0	0.5	0.0	89.59	89.61	59.92	48.44	0044
64	55.265	5.6	57.47	37.74	58.66	67.19	84.69	90.93	84.78	85.94	3013
0	25.0725	50.15	88.38	0.0	11.91	0.0	89.61	89.29	56.74	62.5	1020
