K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	22.882	38.14	61.0	0.0	23.72	0.0	29.69	88.01	88.34	57.61	59.38	0309
64	25.01	41.68	5.63	0.0	59.16	0.0	60.26	89.25	88.51	58.81	46.88	0273
64	21.052	35.08	94.44	0.0	6.27	0.0	4.55	88.46	88.8	59.85	39.06	0318
0	21.02	35.03	82.72	0.0	6.32	0.0	16.06	79.99	80.23	57.44	48.44	0550
64	23.1	38.5	50.23	0.0	12.7	0.0	52.57	88.16	88.69	58.2	67.19	0800
64	53.828	-41.9	43.86	76.02	39.71	81.91	27.64	78.32	88.34	83.44	78.12	0560
0	24.268	40.45	50.72	0.0	26.63	0.0	43.99	88.54	88.64	58.76	51.56	0518
0	25.314	36.65	14.47	0.58	46.73	6.07	58.72	87.2	88.94	72.13	62.5	0775
64	24.072	40.12	57.02	0.0	36.95	0.0	26.39	89.17	89.2	57.86	45.31	0818
64	23.496	38.55	50.44	0.7	23.12	0.04	43.18	88.39	88.21	66.68	65.62	0546
64	46.416	-21.24	41.39	46.9	20.1	71.42	52.27	85.44	88.9	82.62	73.44	0553
0	21.034	35.05	92.93	0.0	5.35	0.0	6.89	89.15	88.72	56.94	62.5	0797
64	52.25	-45.41	62.51	75.32	25.01	83.67	14.74	80.73	86.43	79.38	82.81	0503
64	21.338	35.56	57.34	0.0	8.59	0.0	40.76	89.18	88.72	57.22	43.75	0329
64	48.276	-24.81	43.22	65.38	26.31	60.94	45.53	82.93	81.42	68.19	67.19	0277
64	22.726	37.88	20.06	0.0	13.29	0.0	80.28	89.4	88.87	58.65	46.88	0253
0	23.772	39.62	47.62	0.0	32.9	0.0	38.34	88.39	88.23	58.34	32.81	0276
64	22.09	36.82	84.34	0.0	14.53	0.0	11.58	88.41	88.42	57.47	62.5	0025
0	21.864	36.44	71.24	0.0	30.09	0.0	7.99	83.36	82.71	59.15	37.5	0547
64	25.594	42.66	47.06	0.0	25.12	0.0	55.79	89.18	88.89	57.75	76.56	0819
64	20.14	33.57	98.98	0.0	1.35	0.0	0.37	87.45	87.53	59.09	37.5	0764
0	22.164	36.94	53.43	0.0	4.97	0.0	52.42	88.62	88.51	58.0	54.69	0076
0	38.528	-14.24	13.94	37.43	58.02	56.71	26.54	77.61	79.29	70.09	62.5	0274
0	19.95	33.25	78.35	0.0	4.54	0.0	16.86	89.65	88.59	77.98	60.94	0766
64	22.608	37.68	63.78	0.0	8.64	0.0	40.62	88.13	87.78	58.84	46.88	0324
0	25.924	33.51	2.53	5.5	55.48	6.14	59.97	88.62	89.12	72.8	59.38	0786
64	37.504	-8.98	21.3	39.77	25.45	46.01	54.99	82.6	83.45	72.02	59.38	0292
64	23.244	38.74	15.98	0.0	38.14	0.0	62.1	88.42	88.04	58.62	42.19	0264
64	46.394	-35.57	16.54	69.71	50.41	65.76	29.55	83.26	83.17	70.98	56.25	0538
0	21.136	35.23	41.08	0.0	19.88	0.0	44.72	88.67	88.54	57.83	57.81	0067
0	25.822	43.03	27.81	0.0	32.31	0.0	68.99	88.41	88.67	57.55	54.69	0525
0	24.758	36.85	27.84	5.15	47.54	0.15	43.11	88.19	87.1	65.81	59.38	0531
0	30.444	15.78	22.39	7.6	57.75	34.35	30.13	82.05	82.76	67.49	57.81	0068
0	23.148	33.39	14.36	0.12	7.83	6.11	87.32	87.32	87.48	69.39	57.81	0776
64	41.85	-26.33	7.92	39.53	39.71	75.76	46.33	72.28	77.15	68.21	56.25	0551
64	25.678	-4.85	9.61	56.84	0.76	0.33	60.85	52.21	51.87	58.28	42.19	0521
64	20.61	34.35	51.18	0.0	26.8	0.0	25.07	88.57	88.19	56.83	59.38	0007
64	24.556	40.93	67.27	0.0	23.99	0.0	31.52	88.67	89.28	59.07	46.88	0027
64	29.586	27.7	30.69	2.69	67.04	23.24	24.27	86.96	88.33	71.6	73.44	0760
64	52.262	-55.08	8.8	87.02	14.15	83.6	67.74	71.81	77.92	75.91	67.19	0295
64	35.99	-9.69	7.95	26.9	32.74	56.71	55.65	80.61	86.05	80.53	76.56	0758
0	40.712	-19.19	55.05	70.29	29.17	34.17	14.88	85.14	79.47	71.77	53.12	0502
0	21.314	35.52	74.09	0.0	16.86	0.0	15.62	88.0	88.36	57.69	46.88	0265
64	49.18	-45.28	16.44	77.78	45.38	74.92	31.38	69.48	78.53	69.78	51.56	0005
0	23.478	-9.11	18.3	57.89	0.22	0.0	40.98	56.06	56.84	58.06	35.94	0527
64	21.54	35.9	46.43	0.0	26.74	0.0	34.53	88.64	88.67	58.39	54.69	0539
64	22.416	37.36	63.96	0.0	27.01	0.0	21.11	89.3	88.44	56.58	79.69	0294
0	43.398	-9.88	34.78	54.85	12.59	43.8	70.97	80.8	84.63	70.98	70.31	0070
0	43.532	-25.61	28.51	55.79	20.91	62.01	50.44	77.64	87.65	83.3	68.75	0772
0	39.894	-38.49	20.45	48.77	26.58	77.2	26.47	59.89	77.56	72.97	46.88	0316
64	23.998	35.4	22.28	0.0	27.01	5.52	65.18	87.38	90.67	76.33	76.56	0260
0	20.338	33.9	59.38	0.0	19.07	0.0	23.24	88.44	88.38	58.42	54.69	0284
64	41.346	-12.83	52.13	53.33	44.19	44.76	12.32	85.02	83.39	67.91	65.62	0059
0	26.78	43.92	28.69	0.82	39.17	0.04	65.18	89.25	89.86	70.37	73.44	0017
64	23.598	38.53	49.88	0.58	12.32	0.37	54.84	88.0	87.65	66.42	65.62	0780
0	22.27	37.12	75.5	0.0	2.27	0.0	33.58	88.75	89.17	57.69	57.81	0299
64	29.726	20.07	62.94	16.61	16.96	18.76	33.36	84.89	84.02	66.59	59.38	0075
0	21.762	36.27	76.35	0.0	1.08	0.0	31.38	88.42	88.72	59.29	50.0	0044
0	20.856	34.76	91.55	0.0	7.08	0.0	5.65	88.39	88.97	57.83	62.5	0289
64	24.782	41.31	18.51	0.0	46.46	0.0	58.94	88.36	88.42	57.69	53.12	0549
0	21.806	36.35	54.66	0.0	23.07	0.0	31.3	89.07	88.38	57.5	48.44	0540
0	40.242	-33.19	12.78	61.17	13.72	59.14	54.4	77.63	85.8	82.54	73.44	0302
0	19.832	33.05	84.97	0.0	11.99	0.0	2.2	88.69	88.66	58.67	57.81	0313
0	20.28	33.8	98.17	0.0	0.0	0.0	3.23	83.77	84.18	57.02	31.25	0057
64	43.932	-24.89	47.45	51.93	30.58	65.8	23.9	78.37	75.31	66.68	51.56	0012
0	20.482	34.14	90.25	0.0	2.7	0.0	9.46	88.8	89.22	58.45	39.06	0304
0	22.25	37.08	80.08	0.0	17.83	0.0	13.34	88.13	88.56	57.36	46.88	0787
64	30.794	5.58	36.92	27.49	14.21	27.4	47.95	86.58	93.16	80.41	79.69	0544
64	18.874	31.46	27.31	0.0	3.35	0.0	63.71	26.49	26.73	0.59	25.0	0803
64	27.934	25.06	22.35	9.94	67.04	15.85	24.49	86.54	89.32	71.26	70.31	0060
64	20.574	34.29	37.1	0.0	1.03	0.0	64.74	88.95	88.61	57.78	46.88	0301
0	40.692	-9.34	23.27	55.44	43.76	37.15	43.84	84.21	81.95	68.33	54.69	0257
0	28.15	24.77	53.68	18.01	18.85	8.57	41.64	85.55	83.57	68.1	53.12	0813
0	24.434	21.56	29.6	9.36	20.96	13.64	48.61	89.53	89.91	82.2	71.88	0064
0	22.464	37.44	26.72	0.0	12.43	0.0	73.17	88.8	89.12	59.09	60.94	0811
64	47.622	-34.71	17.53	73.45	8.1	63.44	75.59	82.68	83.65	69.64	67.19	0311
0	36.072	-21.54	8.48	43.16	31.87	54.84	42.01	70.86	87.73	81.14	70.31	0541
64	23.218	38.67	50.26	0.0	17.99	0.04	47.8	88.62	88.36	67.12	67.19	0077
0	46.458	-51.47	8.24	75.2	48.62	79.48	20.75	55.61	70.46	69.36	64.06	0809
64	27.646	27.27	28.58	0.58	35.76	21.99	51.32	88.29	89.89	72.78	68.75	0755
64	28.556	24.41	42.66	17.78	29.34	10.04	42.96	86.21	86.89	66.51	53.12	0072
0	21.434	35.73	48.57	0.0	26.42	0.0	32.18	88.82	88.71	58.14	57.81	0792
0	23.842	39.74	52.16	0.0	38.09	0.0	28.96	89.25	89.18	58.23	51.56	0762
0	40.458	-60.34	6.37	80.35	18.26	72.97	24.34	61.41	84.94	84.64	82.81	0022
64	22.81	38.01	70.19	0.0	20.91	0.0	22.95	88.87	88.51	67.66	64.06	0041
64	43.692	-35.1	55.44	59.18	11.89	70.32	21.63	82.79	88.29	81.87	68.75	0290
64	20.984	34.97	40.87	0.0	31.06	0.0	32.99	88.64	88.03	57.25	53.12	0802
0	22.334	37.23	59.31	0.0	23.55	0.0	28.81	88.42	88.67	58.34	54.69	0268
0	22.77	37.95	74.38	0.0	0.76	0.0	38.71	88.89	88.84	57.92	31.25	0820
0	22.824	38.04	21.82	0.0	16.64	0.0	75.66	88.85	89.25	56.99	51.56	0568
0	21.562	35.93	67.48	0.0	19.29	0.0	21.04	88.62	88.47	57.83	60.94	0505
64	23.402	39.01	69.55	0.0	35.22	0.0	12.24	89.05	89.33	67.29	70.31	0029
64	22.998	38.33	26.5	0.0	36.95	0.0	51.54	88.8	88.42	58.31	42.19	0798
64	21.808	36.35	9.64	0.0	7.83	0.0	91.57	88.8	88.84	57.25	53.12	0554
64	47.88	-28.76	21.08	56.49	43.33	73.78	44.72	79.59	84.53	76.72	64.06	0056
0	21.018	35.03	6.05	0.0	1.24	0.0	97.8	88.82	88.41	58.28	51.56	0323
0	22.136	36.9	56.49	0.0	9.18	0.0	45.01	88.82	88.95	57.5	51.56	0559
64	20.978	34.96	88.53	0.0	6.32	0.0	10.04	88.89	88.29	57.83	42.19	0028
64	20.542	34.24	96.02	0.0	0.97	0.0	5.72	88.64	88.62	58.81	59.38	0561
0	23.132	38.56	73.81	0.0	11.72	0.0	30.13	88.92	89.07	59.12	53.12	0003
64	21.732	36.22	92.26	0.0	0.27	0.0	16.13	53.57	54.39	6.13	35.94	0806
0	33.478	-1.31	18.16	22.92	19.12	45.61	61.58	76.45	88.79	82.06	68.75	0569
64	29.228	32.59	42.73	9.71	15.88	9.64	68.18	87.7	89.0	68.91	64.06	0789
64	20.808	34.68	83.63	0.0	3.4	0.0	17.01	88.74	89.55	59.26	59.38	0016
0	24.978	36.17	25.84	6.55	23.66	0.0	68.84	88.09	86.11	65.14	59.38	0567
0	23.292	37.3	22.35	0.47	70.29	1.36	21.99	87.83	89.86	70.34	68.75	0327
0	23.832	39.72	52.34	0.0	32.58	0.0	34.24	88.47	88.77	57.36	50.0	0781
0	33.328	-1.7	13.73	21.17	39.28	47.52	44.94	77.58	89.09	81.17	82.81	0032
0	23.782	38.76	51.36	1.05	29.77	0.0	36.73	88.64	88.13	66.76	65.62	0010
0	21.92	36.53	66.21	0.0	32.47	0.0	10.92	89.04	89.18	57.92	64.06	0058
