K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
64	72.302	55.3	94.4	47.13	92.98	31.11	95.89	84.94	84.71	66.09	64.06	2569
64	23.554	-58.21	0.81	80.0	0.0	36.96	0.0	20.56	20.0	52.97	26.56	2075
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	87.24	87.12	58.06	31.25	1760
0	61.184	93.65	97.99	1.64	98.6	8.35	99.34	88.11	89.71	71.66	68.75	1823
64	73.986	-21.2	67.3	93.45	50.19	79.96	79.03	70.05	84.81	72.72	56.25	1626
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.18	88.56	58.03	48.44	2510
64	82.462	17.99	89.62	65.15	86.39	78.19	92.96	80.8	83.42	68.63	64.06	1586
64	70.006	67.6	97.18	4.09	96.97	54.8	96.99	88.0	88.92	73.2	75.0	1507
64	67.372	72.88	95.39	28.42	96.16	18.87	98.02	87.04	88.64	69.98	70.31	1556
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.09	88.79	57.41	57.81	2118
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.26	88.44	59.21	56.25	2103
64	76.442	-12.27	76.91	83.27	60.35	84.33	77.35	78.63	79.0	82.65	73.44	2337
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.89	89.1	56.91	67.19	1319
64	76.204	30.6	88.17	38.71	83.25	76.98	93.91	84.26	88.89	78.15	82.81	2527
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.87	88.46	57.81	65.62	1802
64	82.724	0.66	83.74	79.77	81.58	84.88	83.65	83.32	89.3	83.3	67.19	2032
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	87.93	88.47	57.25	39.06	1572
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.9	89.18	58.62	48.44	2050
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.44	89.17	56.8	39.06	1355
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.75	88.39	58.62	45.31	2099
0	68.88	42.08	73.28	30.41	89.79	56.86	94.06	75.51	86.86	75.71	73.44	2116
0	63.784	74.86	95.92	12.4	90.98	25.34	94.28	82.6	90.55	81.31	84.38	2102
0	60.332	98.32	99.58	2.46	99.62	0.22	99.78	88.39	88.23	66.68	57.81	1078
0	68.24	38.78	84.37	25.03	77.96	64.91	88.93	81.13	89.51	81.73	70.31	1271
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.77	88.21	58.56	48.44	1341
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.97	88.16	59.96	64.06	2310
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.41	88.82	58.87	48.44	1567
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.52	88.47	57.22	65.62	1285
64	64.642	-38.82	67.37	84.91	35.55	90.95	44.43	63.67	80.45	81.03	68.75	1809
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.84	88.62	56.74	51.56	1580
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.59	89.02	58.23	60.94	1058
64	75.948	27.39	89.3	50.29	83.58	68.74	87.83	78.55	79.92	67.1	53.12	1769
64	74.488	-10.21	67.69	77.66	66.4	83.56	77.13	72.26	81.04	71.1	59.38	1843
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.94	88.79	66.56	60.94	2254
